publishedAt,authorDisplayName,textDisplay,likeCount
2024-10-30T00:53:03Z,@UUAA-chanel,😂😂😂 OTAK LO YANG DI MAKZULKAN RAFLY HARUN 😂😂😂 PROFESOR TAE LO...😂😂😂 SAKIT HATI LO NDAK ILANG2 AKIBAT KALAH JAGOAN LO 😂😂😂 TOM LEBONG LO DITANGKAP 😂😂😂 BANTUIN DULU 😂😂😂😂 KADRUUUUUN 😂😂😂,0
2024-10-30T00:52:30Z,@mohammadaris5488,"Habis jor-joran untuk jadi wapres pake bansos 500 T,mengarahkan kades dll,kok suruh mundur bisa amsyong dong 😂😅",0
2024-10-30T00:49:15Z,@MarjiAnto-h5y,"SEMANGAT MAS GIBRAN biarpun dicaci maki dihina apapun TENANG MAS GIBRAN. KAMI RAKYAT WARGA SE INDONESIA BERSAMAMU !!! biarlah orang orang yang sakit hati, dan selalu mempropokasi SEGERA MENDAPAT KARMA AZAB DARI TUHAN, lewat tangan tangan, dan hukum RAKYAT WARGA SE INDONESIA,!!!!",0
2024-10-30T00:44:09Z,@makmunmonikef2865,"Singkat, tegas dan jelas, mantap Pak presiden Prabowo 👍🏻👍🏻👍🏻👍🏻👍🏻",0
2024-10-30T00:39:56Z,@aldyutea,Pemilu aja bisa segala cara memenangkannya. <br>Apalagi kasus fufufafa pasti tidak di Tindak Lanjuti lalu di lupakan dan Menghilang.,0
2024-10-30T00:33:46Z,@bundakeny8343,Maju langsung  Brantas fufufafa yg cuma seorang,0
2024-10-30T00:33:26Z,@aldyutea,Fufufafa ngak ada urat kemaluan mana mau gentlement........ Paling sembunyi di balik Ketek Bapaknya. 😅😅😅,0
2024-10-30T00:31:14Z,@rexa000,Betul Ustad. Sesuatu yg jahat pasti mendapat balasan dari ALLAH SWT.,0
2024-10-30T00:29:53Z,@nasruntanjung3541,Ngeri kali😂,0
2024-10-30T00:26:57Z,@bambangazman8468,BANYAK PENGKHIANAT DI NEGARA INDONESIA INI.BANYAK PENJILA T DI NEGRI INI.,0
2024-10-30T00:23:57Z,@jhonservice8049,Sampah&quot;  jaga mukulu  mu <br>Sebelum allah <br>Merusak hidup mu <br>Allah maha tau <br>Pasti ngalir ke jalan nya <br>Masing&quot; <br>Yg busuk pasti jatuh <br>Yg baik pasti berdinar,0
2024-10-30T00:22:53Z,@usmanfuadi5954,Knp ya kok jadinya seperti ini... Saya loyalis prabowo... Gak taunya wakilnya ditemukan akun itu... Tau gini dulu desak pak prabowo biar gak mengekor jokoder dan milih erick tohir... 😢😢😢,0
2024-10-30T00:21:31Z,@bambangazman8468,"SUDAH JELAS NYATA TERANG BENDERANG YG PUNYA AKUN FUFUFAFA SUDAH DIKETAHUI DARI KETERANGAN AHLI NYA,KENAPA DI NEGARA INI TIDAK ADA YG BERANI MENANGKAPNYA.APA KUATNYA SIH SI FUFUFAFA ITU !?! JANGAN LAH KITA MELINDUNGI ORANG &quot; YG MORAL NYA BOBROK DAN TIDAK BERAKHLAK.INIKAN BUKAN MEGARA SEGELINTIR MANUSIA !?!?",0
2024-10-30T00:20:15Z,@maryatunpaiman5619,Kok bapaknya seakan akan tdk peduli dg masalah yg menimpa putranya,0
2024-10-30T00:17:40Z,@DreDreev,Selamat kan prabowo dari cengkraman mulyono,0
2024-10-30T00:17:27Z,@aguspurwanto8243,Bapak sama anak sama sama pathology.,0
2024-10-30T00:09:46Z,@Yudo-f9z,Coba tengok kesebelah pak,0
2024-10-30T00:08:08Z,@22alfatih,Gara2 si mulyono dan keturunan-keturunannya Indonesia jadi hancur.,0
2024-10-30T00:01:33Z,@Adenan-m8l,"Gibran ini  seolah-olah matanya ini kergantungan obat   gantuk, apakah ini akibatnya kurang tidur... Hancur  hancurnya sehamcurnya pemimpin kita ini",0
2024-10-30T00:01:11Z,@Subiyono-se8ps,"**FUFUFAFA TITISAN MULYONO,  MANA MUNGKIN MAU MUNDURRR..., ITU KAN  WUJUT AMBISINYA MULYONO...*😂😂😩😩🤪🤪",0
2024-10-29T23:58:54Z,@ghazi2858,"Mending rakyat indonesia harus kompak,gibran suruh mengundurkan diri,dan meminta maaf,ngeri klau negara dinpimpin oleh pemimpin  beginian hancur negara....ngk punya akhlak",0
2024-10-29T23:54:22Z,@SalmanBuyuang,Berangkali berat utk mengakuinya karna butuh perlindunga dlm keluarga,0
2024-10-29T23:51:54Z,@brodjobrodjo-se8yy,Ustad  ini kog masih percaya jelas itu kerjaan -heckers gobloknya ustad ini ikit2 an krn gak di gandeng Prabowo spt gus miftah,0
2024-10-29T23:51:04Z,@Channel-mypro,JIKA PRABOWO NEGARAWAN SEJATI MAKA HRS BERANI SINGKIRKAN WAPRES CABUL FUFUFAFA YG SANGAT KEJI SUKA MENGHINA,1
